Longitude,Latitude,Field,Data,Crop,Altitude(m),Yield mass (tonne/ha)
-51.04043333,-22.67071833,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,400.41,2.8930000000000002
-51.04046833,-22.6707,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,400.81,5.443
-51.04050333,-22.67067666,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,400.61,4.394
-51.04053833,-22.67064666,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,400.61,3.946
-51.04057833,-22.67061999,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,400.21,3.822
-51.040615,-22.67060166,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,400.01,2.997
-51.04066333,-22.67057333,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,400.81,3.63
-51.04070499,-22.67054833,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,401.01,2.801
-51.04074333,-22.67052333,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,401.01,6.5729999999999995
-51.04078833,-22.67049333,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,400.91,3.6719999999999997
-51.04082666,-22.67047166,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,400.11,3.548
-51.04086666,-22.67044999,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,400.31,5.919
-51.040905,-22.670415,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,399.71,3.6039999999999996
-51.04094166,-22.67038666,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,400.01,5.569
-51.04098166,-22.67035999,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,400.21,3.824
-51.04102166,-22.67033333,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,400.51,4.67
-51.04106166,-22.67030333,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,401.21,4.368
-51.04110999,-22.67027833,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,401.11,3.471
-51.04115499,-22.67025499,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,401.11,3.3169999999999997
-51.04119,-22.67021833,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,401.51,4.255
